name,code,credits
ICYA3108,PRERREQUISITO PROYECT. ICIV,0.0
DEPO1212,KICKBOXING,1.0
QUIM6971,PASANTIA,0.0
DEPO1219,TENIS DE MESA INTERMEDIO,1.0
MATE1201,PRECALCULO,3.0
DEPO1229,FUTBOL MASCULINO,1.0
IIND2106C,REFUERZO PROBA Y ESTAD I,0.0
ISIS1204L,LAB ALGORITMICA Y PROG. OBJ I,0.0
MBIO3600,FITOPATOLOGIA-TEO,3.0
CISO4025,TEORIA RELACIONES INTERNACIONA,4.0
IBIO4702,PROYECTO ESPECIAL MAESTRIA,4.0
IBIO4680,VISION POR COMPUTADOR,4.0
PSIC1024,SEMILLERO EN PSIC Y ASUNT ECON,0.0
IELE1000,INTR. A LA INGENIERIA ELECTR.,3.0
PSIC2312,PSICOLOGIA APRENDIZAJE(INGLES),3.0
CISO4607,PENSAR CON NORBERT ELIAS,4.0
IBIO4120,DINÁMICA CARDIOVASCULAR,4.0
IBIO4703,PROYECTO ESPECIAL MAESTRIA,1.0
LENG1102,INGLÉS 2,0.0
CISO4001,DEBATES POLITICOS CONTEMP,4.0
DIGS5101,SISTEMAS TECNOLOGICOS,2.0
MINE4005,INTERCAMBIO INTERNACIONAL,0.0
DISE2101,ESTUDIO 4,4.0
EDUC6007,COLOQUIO DE INVESTIGACION III,0.0
ICYA1113C,COMPL INTRO A ING AMBIENTAL,0.0
IIND2104,MODELOS PROBABILISTICOS,3.0
MUSI2212,MORFOLOGIA 1,3.0
ADMI3502,ESTRATEGIA,3.0
LITE1611,ESPAÑOL,3.0
IIND2107C,REFUERZO PROBA Y ESTD II,0.0
MUSI1205,ENTREN AUDITIVO 1,2.0
IELE2402,COMUNICACIONES,3.0
MATE1105C,ALGEBRA LINEAL 1 COMPL,0.0
IBIO6982,TESIS 12CR,12.0
IBIO4790,TESIS II,8.0
ICYA2401L,LAB MECANICA DE FLUIDOS,0.0
MUSI2209,CONTRAPUNTO 2,3.0
EGOB4112,PROYECTO DE GRADO I,3.0
LENG1106,INGLÉS 6,0.0
CBIO4109,BIOLOGÍA MOLECULAR AVANZADA,4.0
ECON1501,HISTORIA ECONOMICA GENERAL,3.0
FISI1029,FISICA EXPERIMENTAL II,1.0
HIST6981,TUTORIAL DE PROYECTO II- DHIST,6.0
IQUI2021C,COMPL. EQUILIBRIO,0.0
ICYA2304L,LAB FUNDAMENTOS DE GEOTECNIA,0.0
LITE1611,ESPAÑOL,3.0
MPET4102,INGENIERIA DE PRODUCCION,4.0
ECON2301,ECONOMETRIA 1,4.0
MBIO2103,BIOLOGIA MOLECULAR-LAB,1.0
DISE1000,CAPACITACIÓN ARQ-DIS,0.0
QUIM1105,APLICACIONES DE QUÍMICA,3.0
CBIO4805,PROFUNDIZAC. EN INVESTIGACION,1.0
IMEC2543,DINAMICA DE MAQUINARIA,3.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
CONT2462,ANÁLISIS DE SISTEMAS DE INFORM,3.0
IQUI3104,CIENC. QUIM. Y BIOL. APLICADAS,3.0
ISIS1404,TI EN LAS ORGANIZACIONES,3.0
FISI1029,FISICA EXPERIMENTAL II,1.0
QUIM1618C,COMPL FUND ANÁLISIS QUIM,0.0
PERI1008A,DE GRECIA A INTERNET,3.0
IIND2107C,REFUERZO PROBA Y ESTD II,0.0
LITE1611,ESPAÑOL,3.0
IBIO4702,PROYECTO ESPECIAL MAESTRIA,4.0
LENG1104,INGLÉS 4,0.0
ADMI2207,COLOMBIA Y SUS INSTIT.(ADMON),3.0
ARTE2457,ARTE E INCLUSION,3.0
"",,0.0
CBIO4912,TESIS MAESTRIA 1,8.0
LITE2407,LATIN III,3.0
QUIM1103C,COMPL. DE QUÍMICA,0.0
LENG1103,INGLÉS 3,0.0
CBIO4800,SEMINARIOS INVESTIGACION L.D.,4.0
ARQU1301,TALLER TECNICO 1,3.0
ECON1301,TALLER DE STATA,1.0
PSIC3863,PROBLE. INFANTILES-JUEVENILES,3.0
QUIM1111,QUIMICA EXPERIMENTAL,0.0
MECA4106,MACROECONOMÍA MECA,2.0
ARQU1111,TALLER DE COMPOSICION 1,3.0
ECON2102,MICROECONOMIA 3,4.0
ANTR6970,EXAMEN CONOCIMIENT.DOCTORALES,4.0
EDUC4727,EDUCACION CLINICA,4.0
FISI1039,LABORATORIO DE ONDAS Y FLUIDOS,1.0
ISIS3007,PROYECTO DE GRADO,3.0
LENG1104,INGLÉS 4,0.0
ADMI2301,FUNDAMENTOS DE MERCADEO,3.0
EDUC1012A,EL SENTIDO DE LA EDUCACION,3.0
IELE1006L,LAB.FUNDAMENTOS CIRCUITOS,0.0
MUSI2415,INSTRUMENTO 5 - 15,4.0
IBIO6003,TUTORIAL 2,4.0
ICYA3103,PROYECTO GRADO ING AMBIENTAL,3.0
IIND1001,PROGRAMA DE ACOMPAÑAMIENTO,0.0
FISI1028C,COMPL. FÍSICA II,0.0
BIOL3325,BIOLOGIA DE CONSERVACION-LABOR,1.0
FISI1019,FISICA EXPERIMENTAL I,1.0
DISE3199,ESTUDIO 8: PROYECTO DE GRADO,3.0
IMEC1600,SEMINARIO GIE,0.0
ECON2202,MACROECONOMIA 3,4.0
ARQU3931,ANALISIS UNIDAD AVANZADA GRP2,3.0
LENG1105,INGLÉS 5,0.0
MDIS4303,TECNOLOGIAS AGILES,4.0
LENG1104,INGLÉS 4,0.0
DEPO1220,YOGA,1.0
FISI1028C,COMPL. FÍSICA II,0.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
DISE3199,ESTUDIO 8: PROYECTO DE GRADO,3.0
ISIS2203L,LAB INFRAESTRUCTURA COMPUTACIO,0.0
FISI1004A,GRANDES IDEAS DE LA FISICA,3.0
FISI1023,LABORATORIO DE FISICA BASICA 2,1.0
DEPO1213,AFRO - FUSION,1.0
IQUI2023,LAB. TERMODINAMICA,0.0
ICYA2304L,LAB FUNDAMENTOS DE GEOTECNIA,0.0
QUIM1302,LAB DE QUIMICA ORGANICA,1.0
QUIM1105C,COMPL. DE APLICACIONES,0.0
CISO4614,HISTORIA AGRARIA COLOMBIANA,4.0
DEPO3401,TAEKWONDO WTF,1.0
ICYA1114C,COMPL INTRO A ING CIVIL,0.0
LENG1105,INGLÉS 5,0.0
MUSI2201,PIANO COMPLEMENTARIO 5,3.0
ICYA1114C,COMPL INTRO A ING CIVIL,0.0
MUSI2210,CONTRAPUNTO AVANZADO 1,3.0
ADMI3991,PRACTICA EMPRESARIAL,6.0
LENG1103,INGLÉS 3,0.0
CPOL2602,SEMILLERO PROG INVESTIG. CPOL,1.0
QUIM1103C,COMPL. DE QUÍMICA,0.0
ISIS1204,ALGORITMICA Y PROGR. OBJ. I,3.0
IQUI3032,TALLER DISEÑO PLANTAS,0.0
DEPO1218,TENIS DE CAMPO INTERMEDIOS,1.0
LENG1105,INGLÉS 5,0.0
LENG1105,INGLÉS 5,0.0
ICYA3203,GERENCIA PROY CONSTRUCCION,3.0
IELE1006,FUNDAMENTOS DE CIRCUITOS,4.0
LENG1204,FRANCÉS 4,3.0
MGAP4441,CADENAS DE VALOR SOSTENIBLES,2.0
ECON3635,TEOR.FINANZAS PARA ECONOMISTAS,3.0
ICYA2401L,LAB MECANICA DE FLUIDOS,0.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
MBIT4103,FORMACIÓN DIRECTIVOS TI,4.0
ARTE3200,ARTE Y PROCESOS CIENTIFICOS,3.0
ICYA3308,INGENIERIA DE PAVIMENTOS,3.0
MUSI2420,RECITAL MITAD DE CARRERA INSTR,3.0
LENG1105,INGLÉS 5,0.0
